序号,合约,手数,开仓日期,平仓日期,方向,开仓价,平仓价,平仓盈亏,持仓天数,结果,PDF页码,平仓月份
53,rb2401,1,2023-11-10,2023-11-10,空头,3865,3877,-120,0,亏损,3,2023-11
54,rb2401,1,2023-11-10,2023-11-10,空头,3868,3877,-90,0,亏损,3,2023-11
55,rb2401,1,2023-11-10,2023-11-10,空头,3877,3871,60,0,盈利,3,2023-11
56,rb2401,1,2023-11-10,2023-11-10,空头,3873,3875,-20,0,亏损,3,2023-11
57,rb2401,1,2023-11-10,2023-11-10,空头,3862,3876,-140,0,亏损,3,2023-11
58,rb2401,1,2023-11-10,2023-11-10,空头,3883,3882,10,0,盈利,3,2023-11
59,rb2401,1,2023-11-10,2023-11-10,空头,3875,3883,-80,0,亏损,3,2023-11
60,rb2401,1,2023-11-10,2023-11-10,空头,3868,3883,-150,0,亏损,3,2023-11
61,UR401,1,2023-11-14,2023-11-14,多头,2353,2359,120,0,盈利,3,2023-11
62,UR401,1,2023-11-14,2023-11-14,空头,2325,2329,-80,0,亏损,3,2023-11
63,UR401,1,2023-11-14,2023-11-14,空头,2402,2398,80,0,盈利,3,2023-11
64,UR401,1,2023-11-14,2023-11-14,空头,2426,2414,240,0,盈利,3,2023-11
65,UR405,1,2023-11-14,2023-11-14,多头,2209,2207,-40,0,亏损,3,2023-11
66,UR405,1,2023-11-14,2023-11-14,多头,2216,2212,-80,0,亏损,3,2023-11
67,UR405,1,2023-11-14,2023-11-14,多头,2157,2156,-20,0,亏损,3,2023-11
68,UR405,1,2023-11-14,2023-11-14,空头,2177,2182,-100,0,亏损,3,2023-11
69,UR401,1,2023-11-14,2023-11-15,多头,2353,2370,340,1,盈利,3,2023-11
70,UR405,1,2023-11-14,2023-11-15,空头,2177,2198,-420,1,亏损,3,2023-11
71,MA401,1,2023-11-14,2023-11-17,多头,2470,2505,350,3,盈利,3,2023-11
72,MA401,1,2023-11-14,2023-11-17,多头,2470,2529,590,3,盈利,3,2023-11
73,MA405,1,2023-11-14,2023-11-17,空头,2483,2513,-300,3,亏损,3,2023-11
74,MA405,1,2023-11-14,2023-11-17,空头,2484,2537,-530,3,亏损,3,2023-11
75,UR401,1,2023-11-17,2023-11-17,多头,2316,2326,200,0,盈利,3,2023-11
76,UR401,1,2023-11-17,2023-11-17,多头,2281,2287,120,0,盈利,3,2023-11
77,UR405,1,2023-11-17,2023-11-17,空头,2161,2165,-80,0,亏损,3,2023-11
78,UR405,1,2023-11-17,2023-11-17,空头,2133,2136,-60,0,亏损,3,2023-11
79,MA401,1,2023-11-15,2023-11-20,多头,2480,2508,280,5,盈利,4,2023-11
80,MA405,1,2023-11-15,2023-11-20,空头,2502,2510,-80,5,亏损,4,2023-11
81,UR401,1,2023-11-17,2023-11-20,多头,2276,2296,400,3,盈利,4,2023-11
82,UR405,1,2023-11-17,2023-11-20,空头,2131,2135,-80,3,亏损,4,2023-11
83,MA405,1,2023-11-15,2023-11-21,空头,2502,2435,670,6,盈利,4,2023-11
84,UR401,1,2023-11-17,2023-11-21,多头,2280,2298,360,4,盈利,4,2023-11
85,UR401,1,2023-11-17,2023-11-21,多头,2283,2287,80,4,盈利,4,2023-11
86,UR401,1,2023-11-17,2023-11-21,多头,2273,2290,340,4,盈利,4,2023-11
87,UR405,1,2023-11-17,2023-11-21,空头,2135,2147,-240,4,亏损,4,2023-11
88,UR405,1,2023-11-17,2023-11-21,空头,2130,2142,-240,4,亏损,4,2023-11
89,UR405,1,2023-11-17,2023-11-21,空头,2138,2139,-20,4,亏损,4,2023-11
90,MA401,1,2023-11-15,2023-11-24,多头,2480,2379,-1010,9,亏损,4,2023-11
91,MA401,1,2023-11-17,2023-11-24,多头,2503,2395,-1080,7,亏损,4,2023-11
92,MA405,1,2023-11-17,2023-11-24,空头,2516,2396,1200,7,盈利,4,2023-11
93,MA401,1,2023-11-21,2023-11-24,多头,2410,2391,-190,3,亏损,4,2023-11
94,MA405,1,2023-11-21,2023-11-24,空头,2442,2406,360,3,盈利,4,2023-11
95,UR405,1,2023-11-29,2023-11-29,空头,2184,2187,-60,0,亏损,4,2023-11
96,UR405,1,2023-11-29,2023-11-29,空头,2184,2183,20,0,盈利,4,2023-11
97,UR405,1,2023-11-29,2023-11-29,空头,2190,2183,140,0,盈利,4,2023-11
98,UR409,1,2023-11-29,2023-11-29,多头,2015,2020,100,0,盈利,4,2023-11
99,UR409,1,2023-11-29,2023-11-29,多头,2015,2017,40,0,盈利,4,2023-11
100,UR409,1,2023-11-29,2023-11-29,多头,2021,2016,-100,0,亏损,4,2023-11
101,UR405,1,2023-11-30,2023-12-01,多头,2150,2153,60,1,盈利,4,2023-12
102,UR405,1,2023-11-30,2023-12-01,多头,2149,2180,620,1,盈利,4,2023-12
103,UR409,1,2023-11-30,2023-12-01,空头,2007,2008,-20,1,亏损,4,2023-12
104,UR409,1,2023-11-30,2023-12-01,空头,2007,2026,-380,1,亏损,4,2023-12
105,UR405,1,2023-12-06,2023-12-06,空头,2227,2212,300,0,盈利,5,2023-12
106,UR405,1,2023-12-06,2023-12-06,空头,2232,2236,-80,0,亏损,5,2023-12
107,UR405,1,2023-12-06,2023-12-06,空头,2224,2216,160,0,盈利,5,2023-12
108,UR409,1,2023-12-06,2023-12-06,多头,2055,2045,-200,0,亏损,5,2023-12
109,UR409,1,2023-12-06,2023-12-06,多头,2051,2046,-100,0,亏损,5,2023-12
110,UR409,1,2023-12-06,2023-12-06,多头,2059,2060,20,0,盈利,5,2023-12
111,UR405,1,2023-12-07,2023-12-07,多头,2290,2281,-180,0,亏损,5,2023-12
112,UR405,1,2023-12-07,2023-12-07,多头,2285,2273,-240,0,亏损,5,2023-12
113,UR409,1,2023-12-07,2023-12-07,空头,2131,2113,360,0,盈利,5,2023-12
114,UR409,1,2023-12-07,2023-12-07,空头,2137,2123,280,0,盈利,5,2023-12
115,UR405,1,2023-12-08,2023-12-11,多头,2240,2245,100,3,盈利,5,2023-12
116,UR405,1,2023-12-08,2023-12-11,多头,2240,2254,280,3,盈利,5,2023-12
117,UR409,1,2023-12-08,2023-12-11,空头,2099,2097,40,3,盈利,5,2023-12
118,UR409,1,2023-12-08,2023-12-11,空头,2099,2095,80,3,盈利,5,2023-12
119,UR405,1,2023-12-08,2023-12-12,多头,2241,2276,700,4,盈利,5,2023-12
120,UR409,1,2023-12-08,2023-12-12,空头,2100,2116,-320,4,亏损,5,2023-12
121,UR405,1,2023-12-14,2024-01-03,多头,2236,2163,-1460,20,亏损,5,2024-01
122,UR405,1,2023-12-14,2024-01-03,多头,2236,2187,-980,20,亏损,5,2024-01
123,UR405,1,2023-12-14,2024-01-03,多头,2236,2174,-1240,20,亏损,5,2024-01
124,UR405,1,2023-12-14,2024-01-03,多头,2236,2170,-1320,20,亏损,5,2024-01
125,UR409,1,2023-12-14,2024-01-03,空头,2097,2022,1500,20,盈利,5,2024-01
126,UR409,1,2023-12-14,2024-01-03,空头,2098,2019,1580,20,盈利,5,2024-01
127,UR409,1,2023-12-14,2024-01-03,空头,2097,2025,1440,20,盈利,5,2024-01
128,UR409,1,2023-12-14,2024-01-03,空头,2098,2024,1480,20,盈利,5,2024-01
129,UR405,1,2024-01-11,2024-01-15,多头,2054,2058,80,4,盈利,5,2024-01
130,UR409,1,2024-01-11,2024-01-15,空头,1925,1926,-20,4,亏损,5,2024-01
131,UR405,1,2024-01-12,2024-01-15,多头,2046,2063,340,3,盈利,6,2024-01
132,UR405,1,2024-01-12,2024-01-15,多头,2046,2058,240,3,盈利,6,2024-01
133,UR409,1,2024-01-12,2024-01-15,空头,1920,1926,-120,3,亏损,6,2024-01
134,UR409,1,2024-01-12,2024-01-15,空头,1920,1928,-160,3,亏损,6,2024-01
135,UR405,1,2024-01-12,2024-01-16,多头,2046,2080,680,4,盈利,6,2024-01
136,UR405,1,2024-01-12,2024-01-16,多头,2046,2085,780,4,盈利,6,2024-01
137,UR409,1,2024-01-12,2024-01-16,空头,1920,1940,-400,4,亏损,6,2024-01
138,UR409,1,2024-01-12,2024-01-16,空头,1920,1945,-500,4,亏损,6,2024-01
139,UR405,1,2024-01-23,2024-01-24,多头,2028,2052,480,1,盈利,6,2024-01
140,UR405,1,2024-01-23,2024-01-24,多头,2028,2067,780,1,盈利,6,2024-01
141,UR405,1,2024-01-23,2024-01-24,多头,2028,2037,180,1,盈利,6,2024-01
142,UR409,1,2024-01-23,2024-01-24,空头,1904,1931,-540,1,亏损,6,2024-01
143,UR409,1,2024-01-23,2024-01-24,空头,1904,1920,-320,1,亏损,6,2024-01
144,UR409,1,2024-01-23,2024-01-24,空头,1904,1910,-120,1,亏损,6,2024-01
145,UR405,1,2024-01-23,2024-01-25,多头,2028,2079,1020,2,盈利,6,2024-01
146,UR409,1,2024-01-23,2024-01-25,空头,1904,1945,-820,2,亏损,6,2024-01
