fund_code,fund_name,nav_date,unit_nav,accumulated_nav,daily_growth_rate_percent,source
110008,易方达稳健收益债券B,2018-07-30,1.2648,2.0744,0.11,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-07-31,1.2669,2.0765,0.17,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-01,1.2645,2.0741,-0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-02,1.2613,2.0709,-0.25,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-03,1.2616,2.0712,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-06,1.2572,2.0668,-0.35,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-07,1.2657,2.0753,0.68,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-08,1.2622,2.0718,-0.28,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-09,1.2663,2.0759,0.32,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-10,1.2658,2.0754,-0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-13,1.2639,2.0735,-0.15,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-14,1.2637,2.0733,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-15,1.2578,2.0674,-0.47,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-16,1.2561,2.0657,-0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-17,1.2499,2.0595,-0.49,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-20,1.2512,2.0608,0.1,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-21,1.255,2.0646,0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-22,1.2542,2.0638,-0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-23,1.2552,2.0648,0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-24,1.2565,2.0661,0.1,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-27,1.2616,2.0712,0.41,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-28,1.2634,2.073,0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-29,1.2614,2.071,-0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-30,1.2587,2.0683,-0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-08-31,1.2586,2.0682,-0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-03,1.2583,2.0679,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-04,1.2607,2.0703,0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-05,1.2561,2.0657,-0.36,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-06,1.2541,2.0637,-0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-07,1.2545,2.0641,0.03,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-10,1.2502,2.0598,-0.34,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-11,1.2492,2.0588,-0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-12,1.249,2.0586,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-13,1.2513,2.0609,0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-14,1.252,2.0616,0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-17,1.2501,2.0597,-0.15,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-18,1.2531,2.0627,0.24,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-19,1.2571,2.0667,0.32,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-20,1.2563,2.0659,-0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-21,1.2648,2.0744,0.68,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-25,1.2634,2.073,-0.11,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-26,1.2667,2.0763,0.26,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-27,1.265,2.0746,-0.13,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-09-28,1.2691,2.0787,0.32,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-08,1.2586,2.0682,-0.83,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-09,1.2589,2.0685,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-10,1.258,2.0676,-0.07,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-11,1.2447,2.0543,-1.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-12,1.2488,2.0584,0.33,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-15,1.2443,2.0539,-0.36,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-16,1.2411,2.0507,-0.26,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-17,1.2411,2.0507,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-18,1.2336,2.0432,-0.6,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-19,1.2417,2.0513,0.66,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-22,1.253,2.0626,0.91,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-23,1.2463,2.0559,-0.53,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-24,1.2461,2.0557,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-25,1.2456,2.0552,-0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-26,1.2464,2.056,0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-29,1.2431,2.0527,-0.26,东方财富基金历史净值接口
